# Catálogo Bluefishing.cl
# Formato: Nombre | Precio | Categoría | URL

DAIWA CARRETE FUEGO LT 4000D -C | $149.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-fuego-lt-4000d-c/
DAIWA BG MQ4000D-XH | $279.990 | Carretes | https://bluefishing.cl/producto/daiwa-bg-mq4000d-xh/
TSURINOYA Caña Dragon S662L Spinning | $79.990 | Cañas | https://bluefishing.cl/producto/tsurinoya-cana-dragon-s662l-spinning/
TSURINOYA Caña MYSTERY 962MHS | $99.990 | Cañas | https://bluefishing.cl/producto/tsurinoya-cana-mystery-962mhs/
DAIWA Certate LT 4000 | $799.990 | Carretes | https://bluefishing.cl/producto/daiwa-certate-lt-4000/
DAIWA BALLISTIC MQ LT 3000 | $309.990 | Carretes | https://bluefishing.cl/producto/daiwa-ballistic-mq-lt-3000/
Carrete Daiwa Gekkabijin X LT 1000S-P | $129.990 | Carretes | https://bluefishing.cl/producto/carrete-daiwa-gekkabijin-x-lt-1000s-p/
Carrete Daiwa CALDIA LT 4000-CXH | $219.990 | Carretes | https://bluefishing.cl/producto/carrete-daiwa-caldia-lt-4000-cxh/
BADFISH caña Graphite SEABass 10-32 g | $79.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-graphite-seabass-10-32-g/
BADFISH caña Shore MASTER 20-80 g | $129.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-shore-master-20-80-g/
BADFISH caña Shore MASTER ELITE 20-80 g | $139.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-shore-master-elite-20-80-g/
BADFISH caña POWER Surf MASTER ELITE 90-180 gr | $199.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-power-surf-master-elite-90-180-gr/
BADFISH caña GRAPHITE JIGGING LITE PRO | 150g | $79.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-graphite-jigging-lite-pro-150g/
BADFISH caña GRAPHITE JIGGING LITE | 150 g | $69.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-graphite-jigging-lite-150-g/
BADFISH caña GRAPHITE JIGGING Elite | 200g | $79.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-graphite-jigging-elite-200g/
BADFISH caña GRAPHITE JIGGING | 200g | $69.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-graphite-jigging-200g/
DAIWA Carrete de pesca COASTAL TW200SHL Casting | $319.990 | Carretes > Baitcasting | https://bluefishing.cl/producto/daiwa-carrete-de-pesca-coastal-tw200shl-casting/
DAIWA Carrete de pesca DAIWA LEXA DH 300HSL-P | $319.990 | Carretes > Baitcasting | https://bluefishing.cl/producto/daiwa-carrete-de-pesca-daiwa-lexa-dh-300hsl-p/
TSURINOYA Caña Legend S802ML | $69.990 | Cañas | https://bluefishing.cl/producto/tsurinoya-cana-legend-s802ml/
Daiwa Seabass Hunter 96M-R | $199.990 | Cañas | https://bluefishing.cl/producto/daiwa-seabass-hunter-96m-r/
Daiwa Seabass Hunter 100M-R | $209.990 | Cañas | https://bluefishing.cl/producto/daiwa-seabass-hunter-100m-r/
Daiwa Seabass Hunter 100MH-R | $209.990 | Cañas | https://bluefishing.cl/producto/daiwa-seabass-hunter-100mh-r/
DAIWA Caña Lateo 100M | 10-50g | $359.990 | Cañas | https://bluefishing.cl/producto/daiwa-cana-lateo-100m-10-50g/
Gomexus Titanium Reel Power Knob 38mm TA38 | $42.990 | Carretes | https://bluefishing.cl/producto/gomexus-titanium-reel-power-knob-38mm-ta38/
Gomexus Titanium Reel Power Knob 45mm TB45 | $42.990 | Carretes | https://bluefishing.cl/producto/gomexus-titanium-reel-power-knob-45mm-tb45/
Gomexus Fishing Reel Custom Part Titanium Power Knob TA41 | $42.990 | Carretes | https://bluefishing.cl/producto/gomexus-fishing-reel-custom-part-titanium-power-knob-ta41/
Gomexus EVA Reel Power Knob 38mm EA38 | $19.990 | Carretes | https://bluefishing.cl/producto/gomexus-eva-reel-power-knob-38mm-ea38/
Gomexus Carbon Reel Power Knob 38mm FA38 | $42.990 | Carretes | https://bluefishing.cl/producto/gomexus-carbon-reel-power-knob-38mm-fa38/
Ballistick HIRA 11MH TZ NANO | $649.990 | Cañas | https://bluefishing.cl/producto/ballistick-hira-11mh-tz-nano/
Cartucho Gas Butano Atom 227g | $2.690 | Marcas > ATOM | https://bluefishing.cl/producto/cartucho-gas-butano-atom-227g/
Set de cocina para 3-4 personas Atom | $29.990 | Marcas > ATOM | https://bluefishing.cl/producto/set-de-cocina-para-3-4-personas-atom/
Set de cocina para 2-3 personas Atom | $21.990 | Marcas > ATOM | https://bluefishing.cl/producto/set-de-cocina-para-2-3-personas-atom/
Set de viaje Atom 3 piezas | $21.990 | Marcas > ATOM | https://bluefishing.cl/producto/set-de-viaje-atom-3-piezas/
BADFISH Caña BAD AJING BAJS 18UL 2-10g | $29.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-bad-ajing-bajs-18ul-2-10g/
BADFISH Caña BAD AJING BAJS 18UL 3-12 | $29.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-bad-ajing-bajs-18ul-3-12/
BADFISH Caña BAD AJING BAJS 19UL 3-12 g | $29.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-bad-ajing-bajs-19ul-3-12-g/
BADFISH Caña SHORE CAST 3mts, 15-50 | $39.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-shore-cast-3mts-15-50/
BADFISH Caña SHORE CAST  3mts 15-60 | $39.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-shore-cast-3mts-15-60/
BADFISH Caña NIMBUS PROFESSIONAL SERIES 3,06mt,  15-50 | $129.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-nimbus-professional-series-306mt-15-50/
Carrete Daiwa Legalis LT5000D | $119.990 | Carretes | https://bluefishing.cl/producto/carrete-daiwa-legalis-lt5000d/
Carrete Daiwa Legalis LT4000D-C Spinning Reel | $119.990 | Carretes | https://bluefishing.cl/producto/carrete-daiwa-legalis-lt4000d-c-spinning-reel/
ATOM Lámpara Led 400 lumens | $19.990 | Marcas > ATOM | https://bluefishing.cl/producto/atom-lampara-led-400-lumens/
ATOM Set 6 Estacas Fluorecentes | $4.990 | Marcas > ATOM | https://bluefishing.cl/producto/atom-set-6-estacas-fluorecentes/
ATOM Kit de Estacas, Martillo y Vientos | $8.990 | Marcas > ATOM | https://bluefishing.cl/producto/atom-kit-de-estacas-martillo-y-vientos/
ATOM Party Cooler 45 lts | $39.990 | Marcas > ATOM | https://bluefishing.cl/producto/atom-party-cooler-45-lts/
FISHBITES Carnada FLEA Longer Lasting E-Z Pulga - Naranjo/Blanco | $11.990 | Señuelos > Carnada Artificial | https://bluefishing.cl/producto/fishbites-carnada-flea-longer-lasting-e-z-pulga-naranjoblanco/
FISHBITES Carnada E-Z Clam Pink | $11.990 | Señuelos > Carnada Artificial | https://bluefishing.cl/producto/fishbites-carnada-e-z-clam-pink/
FISHBITES Carnada CLAM Longer Lasting E-Z Almeja - Blanco | $11.990 | Señuelos > Carnada Artificial | https://bluefishing.cl/producto/fishbites-carnada-clam-longer-lasting-e-z-almeja-blanco/
FISHBITES Carnada CLAM Longer Lasting E-Z Almeja - Naranjo | $11.990 | Señuelos > Carnada Artificial | https://bluefishing.cl/producto/fishbites-carnada-clam-longer-lasting-e-z-almeja-naranjo/
FISHBITES Carnada E-Z Clam Coquina | $11.990 | Señuelos > Carnada Artificial | https://bluefishing.cl/producto/fishbites-carnada-e-z-clam-coquina/
FISHBITES Carnada BAG O´WORMS Large 01054 | $14.990 | Señuelos > Carnada Artificial | https://bluefishing.cl/producto/fishbites-carnada-bag-oworms-large-01054/
FISHBITES Carnada BAG O´WORMS Gusano - Regular | $12.990 | Señuelos > Carnada Artificial | https://bluefishing.cl/producto/fishbites-carnada-bag-oworms-gusano-regular/
DAIWA Polera LONG SLEEVE - D-VEC | $29.990 | Marcas > DAIWA | https://bluefishing.cl/producto/daiwa-polera-long-sleeve-d-vec/
DAIWA CARRETE FUEGO LT 5000D -C | $189.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-fuego-lt-5000d-c/
DAIWA Carrete PROCYON MQ LT4000D-CXH | $269.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-procyon-mq-lt4000d-cxh/
DAIWA Carrete PROCYON MQ LT1000D | $269.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-procyon-mq-lt1000d/
TSURINOYA Caña ELF AJING S752UL | $109.990 | Cañas | https://bluefishing.cl/producto/tsurinoya-cana-elf-ajing-s752ul/
YAMAGA BLANKS Caña BlueCurrent Ⅲ 69 | $349.990 | Cañas | https://bluefishing.cl/producto/yamaga-blanks-cana-bluecurrent-69/
YAMAGA BLANKS Caña BlueCurrent Ⅲ 74 | $349.990 | Cañas | https://bluefishing.cl/producto/yamaga-blanks-cana-bluecurrent-74/
BKK Jockey LOGO PERFORMANCE HAT CAMO | $29.990 | Marcas > BKK | https://bluefishing.cl/producto/bkk-jockey-logo-performance-hat-camo/
BKK Jockey LOGO PERFORMANCE HAT BLACK | $29.990 | Marcas > BKK | https://bluefishing.cl/producto/bkk-jockey-logo-performance-hat-black/
BKK Jockey LOGO PERFORMANCE HAT LEGACY | $29.990 | Marcas > BKK | https://bluefishing.cl/producto/bkk-jockey-logo-performance-hat-legacy/
XESTA Caña BLACK STAR EXTRA TUNED S58LX-S | $399.990 | Cañas | https://bluefishing.cl/producto/xesta-cana-black-star-extra-tuned-s58lx-s/
XESTA Caña BLACK STAR EXTRA TUNED S66M-T | $569.990 | Cañas | https://bluefishing.cl/producto/xesta-cana-black-star-extra-tuned-s66m-t/
XESTA Caña BLACK STAR EXTRA TUNED S55UL/L-S | $399.990 | Cañas | https://bluefishing.cl/producto/xesta-cana-black-star-extra-tuned-s55ull-s/
XESTA Caña BLACK STAR SOLID 2nd Generation S610-S | $429.990 | Cañas | https://bluefishing.cl/producto/xesta-cana-black-star-solid-2nd-generation-s610-s/
ATOM Cocinilla MAGMA - Gas Butano | $24.990 | Marcas > ATOM | https://bluefishing.cl/producto/atom-cocinilla-magma-gas-butano/
ATOM Linterna LED 300 L | $19.990 | Marcas > ATOM | https://bluefishing.cl/producto/atom-linterna-led-300-l/
ATOM Linterna Frontal 3W Angulable | $4.990 | Marcas > ATOM | https://bluefishing.cl/producto/atom-linterna-frontal-3w-angulable/
ATOM Set PEDERNAL DE SUPERVIVENCIA | $4.990 | Marcas > ATOM | https://bluefishing.cl/producto/atom-set-pedernal-de-supervivencia/
ATOM LAMPARA TELESCÓPICA DE CAMPING | $5.990 | Marcas > ATOM | https://bluefishing.cl/producto/atom-lampara-telescopica-de-camping/
ATOM LINTERNA FRONTAL 120 Lúmenes | $12.990 | Marcas > ATOM | https://bluefishing.cl/producto/atom-linterna-frontal-120-lumenes/
ATOM LINTERNA FRONTAL 300 Lúmenes | $15.990 | Marcas > ATOM | https://bluefishing.cl/producto/atom-linterna-frontal-300-lumenes/
DAIWA Carrete CROSSFIRE LT 5000 | $60.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-crossfire-lt-5000/
DAIWA Carrete SWEEPFIRE 2000 | $30.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-sweepfire-2000/
DAIWA Carrete SWEEPFIRE 4000 | $37.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-sweepfire-4000/
DAIWA Carrete SWEEPFIRE 5000 | $49.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-sweepfire-5000/
DAIWA Carrete CROSSFIRE LT 1000 | $49.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-crossfire-lt-1000/
DAIWA Carrete SALTIST MQ 8000D | $525.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-saltist-mq-8000d/
DAIWA Carrete SALTIST MQ 6000D | $481.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-saltist-mq-6000d/
DAIWA Carrete Revros lt 4000 | $99.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-revros-lt-4000/
DAIWA Carrete Revros lt 2000 | $83.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-revros-lt-2000/
DAIWA Carrete Laguna LT 1000 | $60.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-laguna-lt-1000/
DAIWA Carrete Laguna LT 4000 | $73.620 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-laguna-lt-4000/
FISHBITES Carnada E-Z Squid Flesh Pink | $11.990 | Señuelos > Carnada Artificial | https://bluefishing.cl/producto/fishbites-carnada-e-z-squid-flesh-pink/
FISHBITES Carnada CRAB Longer Lasting E-Z Cangrejo - Rosado | $11.990 | Señuelos > Carnada Artificial | https://bluefishing.cl/producto/fishbites-carnada-crab-longer-lasting-e-z-cangrejo-rosado/
DAIWA Carrete SEAGATE 50H | $237.990 | Carretes > Baitcasting | https://bluefishing.cl/producto/daiwa-carrete-seagate-50h/
DAIWA Carrete SEALINE SL40 LC3BL | $221.990 | Carretes > Baitcasting | https://bluefishing.cl/producto/daiwa-carrete-sealine-sl40-lc3bl/
DAIWA Carrete SEALINE SL50 LC3BL | $237.990 | Carretes > Baitcasting | https://bluefishing.cl/producto/daiwa-carrete-sealine-sl50-lc3bl/
DAIWA Carrete SALTIST LWLC 40H | $425.990 | Carretes > Baitcasting | https://bluefishing.cl/producto/daiwa-carrete-saltist-lwlc-40h/
DAIWA Carrete SALTIST LWLC 50H | $443.990 | Carretes > Baitcasting | https://bluefishing.cl/producto/daiwa-carrete-saltist-lwlc-50h/
FISHBITES Carnada SHRIMP Longer Lasting E-Z Camarón - Naranjo | $11.990 | Señuelos > Carnada Artificial | https://bluefishing.cl/producto/fishbites-carnada-shrimp-longer-lasting-e-z-camaron-naranjo/
BADFISH Caña NIMBUS PROFESSIONAL SERIES  3,06 mt,  8-40gr | $129.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-nimbus-professional-series-306-mt-8-40gr/
BADFISH Caña NIMBUS PROFESSIONAL SERIES  3,30mt,  40-100gr | $139.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-nimbus-professional-series-330mt-40-100gr/
BADFISH Caña NIMBUS PROFESSIONAL SERIES  3,60mt, 40-120gr | $149.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-nimbus-professional-series-360mt-40-120gr/
BADFISH Caña SHORE CAST 3mts,  10-42gr | $49.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-shore-cast-3mts-10-42gr/
BADFISH Caña SHORE CAST 3mts, 20-80gr | $39.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-shore-cast-3mts-20-80gr/
BADFISH Caña SHORE CAST 2,4m 15-50gr | $39.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-shore-cast-24m-15-50gr/
BADFISH Caña SHORE CAST 2,7m, 15-50gr | $39.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-shore-cast-27m-15-50gr/
BADFISH Caña SHORE CAST 2,7m,  15-60gr | $39.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-shore-cast-27m-15-60gr/
BADFISH Caña SHORE CAST 2,1m,  10-30gr | $39.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-shore-cast-21m-10-30gr/
BADFISH Caña SHORE CAST 2.1m 15-50gr | $39.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-shore-cast-21m-15-50gr/
BADFISH Caña SHORE CAST 2.1m,  25-70gr | $39.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-shore-cast-21m-25-70gr/
